,Theta_C1,Theta_P1,Theta_K12,Theta_K13,Theta_K2Q,Theta_K3Q,Random
NSE,0.18292052194107378,0.20100978155141686,0.2103356500797631,0.09068817316801617,0.2919023805402434,0.08469309570794398,0.20538146174070177
KGEss,0.014961479796259213,0.014509279023874038,0.016872764477671148,0.030967102194585035,0.07275412094086897,0.008053609940822165,0.010423612706837492
alpha,0.1363354493738898,0.17104513286255063,0.17448578829623945,0.125907721652927,0.23180282110218606,0.09286819983080975,0.17756360435005525
beta,0.020248970140955273,0.02383987812210712,0.027628302320410712,0.07231690494614404,0.3302773819783379,0.017281667557272225,0.016775747680722652
rho,0.020936106260912708,0.021277203409319333,0.025040545571322907,0.03539499667958912,0.025373525375700638,0.010849326175994808,0.02019711945348651
